,City,Lat,Lon,Temp Max,Cloudiness,Country,Date,Humidity,WindSpeed
0,port alfred,-33.59,26.89,66.81,95,ZA,1586539335,81,2.44
1,cape town,-33.93,18.42,68.0,3,ZA,1586539202,82,4.7
2,shakhtinsk,49.71,72.59,32.0,52,KZ,1586539335,68,6.71
3,tazovskiy,67.47,78.7,20.41,96,RU,1586539336,93,9.91
4,manggar,-2.88,108.27,80.76,100,ID,1586539336,81,4.23
5,barrow,71.29,-156.79,-14.8,75,US,1586539336,91,5.82
6,jalu,29.03,21.55,65.14,0,LY,1586539148,33,6.78
7,georgetown,5.41,100.34,84.2,40,MY,1586539199,89,2.75
8,tasiilaq,65.61,-37.64,26.6,20,GL,1586539336,68,1.54
9,kodiak,57.79,-152.41,26.6,1,US,1586539336,79,5.82
10,coquimbo,-29.95,-71.34,66.2,80,CL,1586539337,68,11.41
11,araouane,18.9,-3.53,96.04,63,ML,1586539337,8,5.64
12,manokwari,-0.87,134.08,80.1,40,ID,1586539112,69,5.35
13,puerto armuelles,8.28,-82.87,75.99,77,PA,1586539337,51,11.99
14,esperance,-33.87,121.9,60.8,75,AU,1586539228,87,6.93
15,busselton,-33.65,115.33,70.0,75,AU,1586538809,47,14.16
16,katsuura,35.13,140.3,48.99,48,JP,1586539218,39,16.11
17,puerto ayora,-0.74,-90.35,86.0,20,EC,1586538721,66,3.36
18,klaksvik,62.23,-6.59,44.6,100,FO,1586538738,81,14.99
19,san quintin,30.48,-115.95,61.72,43,MX,1586538755,57,8.01
20,vaini,-21.2,-175.2,64.4,20,TO,1586539337,93,2.24
21,carnarvon,-24.87,113.63,77.0,77,AU,1586539338,100,13.87
22,port-gentil,-0.72,8.78,84.2,40,GA,1586539338,89,9.17
23,ribeira grande,38.52,-28.7,64.4,40,PT,1586539338,77,5.82
24,meiktila,20.87,95.87,78.87,61,MM,1586539338,42,6.13
25,burgeo,47.62,-57.62,35.46,93,CA,1586539338,87,16.93
26,narsaq,60.92,-46.05,42.8,100,GL,1586539212,28,47.2
27,trairi,-3.28,-39.27,84.88,93,BR,1586539339,72,8.99
28,whitehorse,60.72,-135.05,19.99,5,CA,1586538759,65,2.24
29,yellowknife,62.46,-114.35,12.0,20,CA,1586539339,72,13.87
30,mahebourg,-20.41,57.7,78.8,40,MU,1586539220,78,13.87
31,chara,56.91,118.26,28.74,56,RU,1586539128,67,1.61
32,mahon,39.89,4.27,64.4,20,ES,1586539043,59,6.93
33,berlevag,70.86,29.09,27.75,100,NO,1586539339,90,17.36
34,santa isabel do rio negro,-0.41,-65.02,83.79,71,BR,1586539001,81,3.78
35,hellvik,59.92,5.78,44.01,9,NO,1586539339,65,1.12
36,ushuaia,-54.8,-68.3,46.4,40,AR,1586539157,65,33.33
37,tondano,1.3,124.91,75.2,40,ID,1586539340,100,2.71
38,disna,55.57,28.2,39.94,99,BY,1586539340,69,5.01
39,mataura,-46.19,168.86,43.0,6,NZ,1586539340,95,1.99
40,necochea,-38.55,-58.74,73.99,0,AR,1586538992,50,13.0
41,sorland,67.67,12.69,34.18,100,NO,1586538769,80,17.0
42,zachary,30.65,-91.16,70.0,1,US,1586539340,49,11.41
43,cabedelo,-6.98,-34.83,89.6,75,BR,1586539079,55,10.29
44,los llanos de aridane,28.66,-17.92,71.6,40,ES,1586539341,78,8.05
45,abonnema,4.71,6.79,83.34,47,NG,1586539341,75,6.02
46,punta arenas,-53.15,-70.92,50.0,75,CL,1586539341,57,18.34
47,coihaique,-45.58,-72.07,55.4,90,CL,1586539341,82,4.7
48,acapulco,16.86,-99.89,84.2,5,MX,1586539341,70,8.05
49,hermanus,-34.42,19.23,66.99,2,ZA,1586538808,89,3.69
